n,A,A2,A3,B3,B4,B5,B6,c4,d2,d3,D1,D2,D3,D4,E2
2,2.1213203436,1.879971206,2.6586807764,0.0,3.2665319193,0.0,2.6063153858,0.7978845608,1.1283791671,0.8525024664,0.0,3.6858865664,0.0,3.2665319193,2.6586807764
3,1.7320508076,1.0233267079,1.9544100476,0.0,2.5681696026,0.0,2.275981051,0.8862269255,1.6925687506,0.8883680041,0.0,4.3576727629,0.0,2.5745912899,1.7724538509
4,1.5,0.7285971859,1.6281028228,0.0,2.2660470789,0.0,2.0877493551,0.9213177319,2.058750746,0.8798082028,0.0,4.6981753546,0.0,2.2820515614,1.4571943718
5,1.3416407865,0.5768193341,1.4272992929,0.0,2.0889978686,0.0,1.9636279212,0.939985603,2.3259289473,0.8640819411,0.0,4.9181747705,0.0,2.1144991451,1.2898072418
6,1.2247448714,0.4832460243,1.2871282962,0.0303632095,1.9696367905,0.0288915916,1.8741741323,0.9515328619,2.5344127212,0.8480396861,0.0,5.0785317795,0.0,2.0038298171,1.1837061797
7,1.133893419,0.4192839641,1.1819161019,0.1176850315,1.8823149685,0.1129033462,1.8058342312,0.9593687887,2.7043567512,0.8332053356,0.2047407444,5.2039727581,0.0757077424,1.9242922576,1.1093210978
8,1.0606601718,0.3725273756,1.0990950234,0.1850895978,1.8149104022,0.178617099,1.7514438133,0.9650304561,2.8472006121,0.8198314898,0.3877061426,5.3066950815,0.1361709958,1.8638290042,1.0536665338
9,1.0,0.3366973524,1.0316609528,0.2391328018,1.7608671982,0.2317939834,1.706827416,0.9693106997,2.9700263244,0.8078342745,0.5465235008,5.393529148,0.1840130158,1.8159869842,1.0100920572
10,0.9486832981,0.3082637252,0.9753500771,0.2837055564,1.7162944436,0.2759488406,1.6693697077,0.9726592741,3.0775054617,0.7970506735,0.686353441,5.4686574823,0.2230226557,1.7769773443,0.9748154918
11,0.9045340337,0.2850836192,0.92739423,0.3212801496,1.6787198504,0.3133606187,1.6373395356,0.9753500771,3.1728727038,0.7873146205,0.8109288422,5.5348165654,0.2555819026,1.7444180974,0.9455153988
12,0.8660254038,0.2657779007,0.8859057019,0.3535118311,1.6464881689,0.3455787964,1.6095399073,0.9775593519,3.2584552797,0.7784783412,0.9230202562,5.5938903033,0.2832692724,1.7167307276,0.9206816551
